ID,DATE,AMOUNT,ACCOUNT_ID
315,05/10,-99.7,9
316,07/20,-49.61,4
317,08/19,94.84,9
318,09/27,-69.51,13
319,03/22,58.32,15
320,07/04,78.08,7
321,10/22,72.99,17
322,03/09,25.07,6
323,03/23,-13.44,2
324,01/04,58.39,10
325,10/20,-50.55,15
326,11/14,39.22,10
327,08/06,58.42,12
328,09/20,-27.64,12
329,08/13,32.46,18
330,08/21,39.7,6
331,05/11,-29.37,14
332,09/27,-73.05,19
333,01/16,-8.39,17
334,03/27,-88.33,15
335,10/26,-40.78,12
336,12/23,7.36,18
337,03/31,16.32,6
338,04/07,-47.96,20
339,08/06,-0.98,8
340,09/10,-49.51,18
341,11/22,13.3,6
342,07/27,40.38,2
343,10/27,67.23,9
344,11/18,43.67,10
345,05/12,-11.45,3
346,03/20,77.23,7
347,05/16,-82.57,14
348,07/10,72.88,7
349,10/03,20.09,2
350,07/11,-92.83,8
351,12/09,-31.32,17
352,05/20,81.55,19
353,12/02,-32.84,19
354,07/11,-10.4,1
355,08/08,46.87,1
356,11/21,-98.96,11
357,09/23,84.07,18
358,10/31,65.66,13
359,08/27,-34.25,12
360,08/10,29.97,19
361,07/02,44.98,6
362,01/16,-33.01,13
363,12/18,-86.27,8
364,03/11,7.54,12
365,06/20,-82.01,5
366,01/20,-32.38,5
367,06/24,-27.76,20
368,06/05,91.4,12
369,09/07,-79.5,19
370,12/16,22.09,5
371,11/21,67.74,12
372,09/07,13.12,19
373,12/18,94.91,3
374,09/04,14.11,17
375,04/05,91.25,11
376,04/09,-46.12,11
377,10/06,-29.86,12
378,09/13,20.96,12
379,12/02,33.45,8
380,04/18,-40.18,6
381,08/02,-42.31,20
382,09/29,-59.67,8
383,06/30,-7.97,14
384,06/11,99.1,2
385,10/28,95.34,3
386,09/19,73.83,16
387,10/19,-90.99,14
388,10/01,33.32,17
389,07/10,22.23,20
390,03/03,27.2,4
391,07/27,-83.63,15
392,08/12,-54.05,17
393,05/27,-47.88,3
394,06/04,-61.16,2
395,12/12,-83.0,9
396,08/15,-64.0,17
397,02/14,41.13,1
398,06/09,42.43,2
399,06/11,-42.63,2
400,02/15,-14.2,19
401,02/21,-90.61,13
402,12/09,-25.87,16
403,10/16,-33.82,12
404,04/21,-94.68,8
405,11/28,-86.44,2
406,07/01,12.8,13
407,08/15,-12.74,9
408,09/06,14.44,7
409,09/14,14.61,17
410,03/02,-47.86,2
411,01/04,-45.56,14
412,02/19,-12.13,7
413,01/06,58.66,12
414,10/23,-92.17,2
415,04/03,-73.45,20
416,06/19,-55.52,7
417,02/05,-59.03,17
418,01/22,99.67,6
419,01/10,-43.69,13
420,11/07,-91.15,12
421,12/17,99.13,19
422,10/06,10.24,3
423,02/15,-73.69,9
424,04/25,-69.91,14
425,03/14,-85.14,14
426,01/18,22.97,12
427,08/23,-83.52,14
428,10/26,25.65,6
429,11/17,69.56,9
430,12/07,-75.6,14
431,08/05,-28.22,16
432,01/18,97.89,14
433,11/13,-98.72,5
434,08/20,22.56,5
435,01/15,-26.97,5
436,08/30,20.27,3
437,11/25,56.46,6
438,12/08,-5.22,10
439,06/29,72.47,18
440,07/23,-69.93,16
441,10/14,68.05,10
442,12/09,63.59,16
443,09/28,96.38,19
444,10/19,-34.57,12
445,05/07,-71.4,16
446,02/14,59.05,3
447,11/21,51.09,17
448,12/26,26.98,2
449,02/12,-20.12,12
450,08/29,37.48,18
451,10/20,69.55,13
452,11/22,-67.86,11
453,08/03,8.03,14
454,05/03,-29.56,11
455,05/13,88.42,3
456,02/10,-4.94,18
457,08/28,74.41,10
458,08/31,-93.62,4
459,07/08,67.19,12
460,07/24,1.54,2
461,09/02,53.97,19
462,09/01,79.32,2
463,10/22,99.67,18
464,02/13,19.42,20
465,01/06,93.46,11
466,10/31,-99.94,5
467,02/02,-24.49,13
468,11/14,39.21,16
469,06/09,13.78,6
470,04/03,50.27,3
471,01/10,-87.34,14
472,02/09,80.75,5
473,10/09,-16.55,20
474,11/11,-51.52,20
475,10/19,-12.93,8
476,06/10,-54.32,18
477,01/19,11.98,16
478,11/26,12.68,11
479,06/28,-20.13,1
480,05/13,3.29,7
481,11/12,64.82,10
482,01/09,-6.08,6
483,01/29,1.03,1
484,12/04,-72.97,12
485,04/23,43.5,20
486,08/13,51.43,16
487,06/18,-70.95,1
488,02/15,36.34,2
489,11/17,-96.73,2
490,05/16,67.66,5
491,02/20,-5.08,6
492,02/14,54.05,15
493,03/21,84.28,16
494,03/03,25.91,2
495,04/09,21.48,12
496,05/25,-78.21,12
497,08/20,-75.64,10
498,02/14,96.92,16
499,02/27,-13.13,5
500,07/04,-82.62,6
501,10/25,-43.23,16
502,10/06,86.73,18
503,10/13,-56.82,6
504,12/03,90.52,18
505,08/20,13.72,16
506,09/30,44.12,5
507,05/02,-49.95,1
508,04/24,-30.62,13
509,11/12,96.76,3
510,05/24,-65.04,17
511,06/30,-89.46,20
512,03/13,55.29,9
513,10/11,-8.59,17
514,06/12,60.96,8
515,10/12,-59.03,13
516,08/14,-68.95,6
517,01/07,-32.96,1
518,06/14,-47.74,8
519,04/19,-80.28,6
520,04/25,2.65,7
521,12/23,-63.17,7
522,03/25,12.37,13
523,08/15,11.98,17
524,09/08,61.0,14
525,12/09,-98.75,20
526,06/16,-25.42,3
527,07/22,-77.39,8
528,12/23,-36.67,17
529,11/16,20.38,13
530,04/16,-42.25,2
531,11/27,-42.34,3
532,07/15,93.23,11
533,05/16,59.32,16
534,09/25,-3.79,7
535,10/02,12.43,17
536,01/27,98.07,18
537,05/15,25.53,8
538,02/16,-86.64,19
539,02/24,69.92,7
540,06/25,77.22,10
541,06/14,91.96,16
542,06/13,-14.97,13
543,11/19,83.0,9
544,06/10,30.32,17
545,06/11,46.83,12
546,05/24,-7.14,5
547,10/14,25.37,13
548,10/26,-13.49,12
549,10/01,69.73,19
550,01/17,90.45,17
551,11/19,7.34,18
552,07/25,80.63,13
553,04/25,-25.89,11
554,09/24,68.28,9
555,12/21,97.3,1
556,07/23,-39.77,1
557,01/02,34.72,5
558,11/09,99.89,9
559,01/15,-59.23,17
560,12/15,76.29,17
561,02/03,-36.68,20
562,05/10,40.58,14
563,01/21,-24.03,11
564,10/12,16.51,16
565,06/23,-65.51,12
566,03/11,-35.06,3
567,07/06,-41.0,19
568,01/19,-62.11,12
569,03/01,-6.79,5
570,02/02,-95.78,12
571,12/21,-30.13,2
572,10/10,14.7,14
573,08/19,65.55,1
574,01/22,-1.92,3
575,01/05,65.21,19
576,03/02,-58.33,19
577,03/01,41.64,8
578,05/26,49.3,16
579,05/08,57.85,20
580,02/06,84.02,14
581,10/11,36.44,6
582,04/18,-21.09,17
583,03/09,-24.76,2
584,08/18,35.46,12
585,07/31,12.99,20
586,10/17,57.26,20
587,12/10,16.68,15
588,10/18,-76.05,3
589,03/08,-23.91,16
590,07/08,-62.05,3
591,04/10,78.21,19
592,09/04,-3.07,15
593,09/05,-7.85,13
594,08/30,-55.15,13
595,05/21,67.31,3
596,04/23,12.09,17
597,09/13,-97.5,18
598,03/31,0.14,5
599,06/08,70.56,11
600,08/29,-60.67,20
601,06/28,79.82,7
602,06/02,-99.96,18
603,12/11,94.17,6
604,03/29,5.25,8
605,11/25,-51.7,18
606,07/03,-3.81,17
607,06/02,-46.43,19
608,03/28,45.72,15
609,09/11,73.5,14
610,02/24,46.54,18
611,08/10,-52.99,12
612,10/11,-86.7,16
613,06/24,-79.58,3
614,01/04,16.21,7
615,02/20,42.0,6
616,08/14,54.46,12
617,06/20,90.56,7
618,10/14,58.46,6
619,09/06,59.16,19
620,02/18,74.19,18
621,07/04,21.96,8
622,09/01,7.92,6
623,01/20,-98.21,12
624,04/14,56.88,6
625,06/22,47.77,20
626,06/28,75.29,9
627,12/18,-36.75,12
628,01/28,-3.71,14
629,03/15,13.22,14
630,02/22,-2.59,16
631,12/16,56.13,8
632,07/04,-41.97,14
633,04/27,-72.38,8
634,12/02,67.93,20
635,11/09,-48.23,20
636,03/17,59.49,16
637,03/02,-87.48,19
638,12/01,-75.96,12
639,08/24,99.52,6
640,03/19,94.15,1
641,01/30,-9.55,2
642,05/08,55.42,5
643,01/24,-58.61,14
644,01/18,75.48,6
645,10/13,-11.68,18
646,04/18,-12.7,3
647,07/25,-69.78,10
648,09/14,75.34,17
649,11/17,-72.14,13
650,01/21,51.83,10
651,02/14,44.52,19
652,12/15,0.44,6
653,03/20,-48.36,3
654,05/02,24.31,3
655,05/23,-2.5,7
656,03/20,-33.25,14
657,07/31,-29.19,13
658,06/15,-93.77,6
659,12/06,-12.71,20
660,01/31,-1.61,19
661,10/10,-48.74,18
662,02/18,50.79,8
663,07/26,85.68,3
664,03/10,-77.58,3
665,03/01,-42.38,14
666,07/13,75.51,2
667,12/21,-83.53,20
668,12/13,46.7,19
669,08/10,-27.95,19
670,06/05,15.09,1
671,05/11,21.24,7
672,06/29,83.05,10
673,07/28,-86.78,12
674,07/02,47.22,3
675,06/28,96.58,10
676,09/24,-7.5,10
677,03/27,75.57,3
678,06/20,65.93,20
679,03/16,73.16,12
680,11/08,80.02,14
681,10/14,20.55,9
682,07/29,-14.61,12
683,12/20,2.05,15
684,05/27,-22.13,6
685,02/01,-96.64,14
686,08/10,64.96,13
687,07/17,-55.87,13
688,01/12,11.76,15
689,05/31,40.11,11
690,06/30,-86.08,18
691,04/18,86.21,11
692,06/26,33.06,4
693,02/28,-40.67,18
694,04/25,-88.86,4
695,07/13,-6.6,8
696,12/03,57.6,20
697,12/03,46.89,8
698,06/19,-33.12,12
699,03/16,-71.67,20
700,01/16,59.44,20
701,11/22,68.8,1
702,10/05,56.86,8
703,07/02,-93.89,3
704,12/15,42.81,8
705,02/05,45.06,13
706,08/31,-84.46,20
707,10/13,59.27,16
708,07/14,18.47,5
709,10/21,12.86,20
710,12/10,-57.27,20
711,03/12,-18.41,20
712,06/20,-8.87,1
713,09/11,63.97,9
714,10/14,80.11,11
715,10/22,10.71,6
716,11/26,-88.56,9
717,06/16,-69.38,4
718,05/19,-29.78,2
719,05/01,22.59,20
720,07/17,-0.64,12
721,09/11,-58.51,13
722,08/23,-67.54,14
723,04/13,-37.97,12
724,08/29,-3.42,12
725,11/09,97.55,16
726,09/25,-48.09,15
727,04/07,-85.53,8
728,03/19,63.47,15
729,07/24,-92.98,3
730,03/28,-33.58,3
731,11/16,-61.39,19
732,04/05,33.25,13
733,08/20,14.53,19
734,03/15,-13.64,17
735,12/01,5.74,16
736,11/15,43.04,20
737,06/22,-76.49,17
738,04/07,3.95,1
739,05/23,36.05,4
740,08/13,-84.99,13
741,09/18,-37.41,5
742,09/01,-42.25,11
743,10/17,31.48,8
744,01/04,26.7,20
745,01/31,82.31,1
746,12/29,61.71,5
747,04/26,-70.32,6
748,02/07,-91.87,4
749,08/18,-48.88,13
750,09/12,-79.92,4
751,12/06,24.8,20
752,09/08,97.86,2
753,12/10,6.92,13
754,12/22,-92.25,13
755,01/19,7.75,3
756,06/13,-2.68,11
757,01/21,44.07,17
758,02/13,-35.74,16
759,02/16,22.32,2
760,03/11,6.11,6
761,03/04,-38.34,20
762,03/03,48.92,11
763,01/10,-85.88,16
764,01/01,-27.94,16
765,02/15,11.54,13
766,06/21,-91.12,18
767,08/30,-39.45,11
768,08/12,-16.08,13
769,11/22,-83.86,8
770,06/11,-93.21,13
771,12/09,26.38,14
772,10/31,10.9,15
773,07/10,86.24,5
774,05/12,-46.72,16
775,02/10,29.43,2
776,06/28,14.65,4
777,02/04,96.87,11
778,07/22,35.97,7
779,08/30,87.11,4
780,09/10,-84.24,18
781,04/26,49.69,11
782,06/20,-38.4,15
783,09/19,96.37,4
784,12/28,8.35,9
785,06/19,57.21,16
786,12/01,82.72,17
787,10/02,-8.23,3
788,11/20,75.54,6
789,11/09,-1.61,19
790,06/30,-19.31,3
791,08/27,-62.27,8
792,11/16,-84.69,6
793,10/26,76.76,5
794,01/25,95.75,17
795,06/11,81.61,8
796,05/09,-39.91,1
797,09/25,70.45,19
798,06/29,30.02,10
799,11/30,72.7,7
800,09/25,69.48,3
801,03/27,-33.67,11
802,10/17,-2.32,8
803,01/01,71.29,14
804,07/10,-89.05,5
805,01/17,4.5,19
806,07/16,8.99,10
807,12/01,13.79,13
808,04/20,64.26,6
809,03/18,-57.07,8
810,12/03,-32.34,8
811,11/28,76.47,14
812,04/13,-60.29,17
813,10/08,-7.38,13
814,09/30,44.84,16
815,03/27,-78.3,16
816,11/23,-55.87,17
817,02/12,65.57,15
818,03/23,47.58,2
819,01/06,4.81,19
820,10/07,-28.93,20
821,06/18,-46.87,8
822,01/04,85.56,3
823,01/08,28.94,19
824,07/19,36.3,3
825,11/19,-50.78,17
826,01/03,-70.88,10
827,01/15,-49.67,12
828,07/05,-19.08,13
829,08/06,-28.51,14
830,05/17,70.35,12
831,11/19,65.94,8
832,05/05,-25.45,5
833,06/09,85.81,6
834,03/06,-60.08,18
835,09/11,-92.2,2
836,12/08,-7.61,18
837,05/28,-42.81,13
838,05/12,19.33,1
839,05/17,-18.66,12
840,08/14,-20.5,3
841,08/16,-26.51,2
842,05/22,15.11,19
843,07/18,91.01,15
844,05/31,-91.45,16
845,12/26,56.48,16
846,03/09,7.06,13
847,01/19,-77.02,8
848,06/27,-54.08,9
849,11/08,-21.73,8
850,09/29,-13.46,16
851,01/05,-31.03,2
852,06/28,-11.73,20
853,10/05,93.71,6
854,07/28,-18.53,5
855,10/25,-84.08,4
856,06/02,-59.38,9
857,06/30,5.57,19
858,10/10,-7.46,14
859,11/17,-55.71,8
860,05/19,-39.13,14
861,02/20,41.96,9
862,01/23,-85.14,11
863,03/21,25.36,4
864,07/05,26.07,15
865,03/30,-61.22,7
866,03/26,-50.32,11
867,11/26,41.15,17
868,04/03,92.02,20
869,01/07,58.27,20
870,01/08,96.62,5
871,09/08,-51.66,3
872,10/04,-16.41,9
873,11/07,57.61,14
874,12/26,11.0,1
875,01/11,97.81,16
876,04/14,62.64,18
877,12/04,87.55,17
878,01/04,-63.71,11
879,06/23,-42.97,10
880,07/29,39.99,16
881,04/26,55.98,15
882,09/26,-40.22,14
883,02/11,-19.68,11
884,04/23,-35.36,17
885,07/06,21.67,8
886,05/01,-93.64,16
887,02/09,15.6,2
888,02/06,-99.78,18
889,04/13,17.85,14
890,02/27,-83.5,5
891,12/26,-67.72,17
892,01/16,-98.07,16
893,07/09,-96.37,18
894,11/01,1.52,4
895,04/13,-4.65,17
896,03/19,-68.41,15
897,12/06,-17.51,2
898,11/27,46.86,5
899,09/02,-80.97,13
900,08/08,-42.62,15
901,02/18,-31.47,16
902,06/01,-18.82,20
903,01/11,41.94,2
904,01/24,76.79,3
905,07/10,28.09,4
906,04/21,57.8,18
907,02/24,-61.44,11
908,01/22,35.13,13
909,08/11,-45.53,7
910,07/30,-23.79,5
911,09/07,40.99,10
912,05/05,-55.27,9
913,10/23,65.74,6
914,06/20,4.23,17
915,01/08,-90.83,6
916,03/11,-75.14,11
917,08/01,57.5,16
918,10/24,-52.43,20
919,10/16,-29.38,20
920,05/19,22.01,4
921,10/12,41.4,20
922,09/27,-86.12,1
923,09/03,-82.59,18
924,03/03,-36.75,8
925,08/05,27.72,10
926,03/13,28.43,15
927,08/19,-47.34,8
928,11/20,-97.37,8
929,03/13,-61.54,18
930,10/17,38.7,16
931,12/04,30.86,3
932,09/08,-69.14,4
933,10/10,-29.59,15
934,09/20,82.32,18
935,10/15,31.08,12
936,03/18,-87.74,14
937,10/27,88.63,20
938,11/01,-44.87,20
939,07/04,41.16,5
940,07/10,-50.53,6
941,05/18,59.42,13
942,03/10,94.47,8
943,02/22,76.49,18
944,12/28,22.12,16
945,06/24,49.38,18
946,09/05,15.8,6
947,05/18,41.3,7
948,04/14,14.22,18
949,11/22,66.48,2
950,09/08,-30.45,15
951,10/29,-58.63,20
952,05/04,-11.04,11
953,08/01,-29.51,6
954,03/24,1.04,3
955,09/08,98.55,2
956,07/13,30.72,14
957,07/04,53.79,6
958,06/22,-47.19,13
959,12/25,59.96,12
960,03/21,-93.29,8
961,02/08,19.23,1
962,09/21,-30.9,6
963,01/30,-50.51,10
964,08/13,-58.9,15
965,12/07,-92.67,11
966,05/17,-12.84,16
967,08/05,-88.48,16
968,04/18,-75.89,5
969,12/12,-18.4,20
970,08/06,-81.41,18
971,11/02,45.74,13
972,04/24,-75.59,11
973,09/15,-99.3,10
974,10/07,46.63,20
975,10/13,35.1,8
976,12/28,76.1,19
977,06/09,-47.82,12
978,07/24,-82.26,12
979,04/30,49.32,4
980,02/22,55.41,5
981,11/17,-40.26,5
982,07/03,-72.4,3
983,02/20,69.91,1
984,08/11,-67.04,12
985,04/05,-71.44,3
986,10/31,-69.72,18
987,07/03,-2.18,6
988,02/26,30.57,10
989,06/28,-62.72,7
990,06/02,-40.25,14
991,02/26,-61.9,17
992,07/14,-59.31,17
993,04/13,-58.61,9
994,06/11,9.54,15
995,01/30,-94.09,16
996,02/06,-18.29,17
997,10/18,52.81,12
998,10/06,52.13,7
999,03/10,-10.49,9
1000,08/10,64.1,8
1001,11/30,-1.93,12
1002,08/07,69.82,10
1003,02/13,12.68,3
1004,08/17,-44.52,4
1005,07/07,51.95,12
1006,08/25,-59.83,16
1007,08/08,78.0,12
1008,02/26,26.56,7
1009,07/12,64.54,13
1010,03/31,-66.87,3
1011,02/09,16.62,14
1012,01/30,6.54,3
1013,11/01,17.46,12
1014,10/11,29.45,11
1015,09/29,-25.13,9
1016,08/25,-49.79,15
1017,05/20,-65.93,2
1018,07/17,16.87,8
1019,11/08,12.22,6
1020,07/23,-37.85,20
1021,02/10,78.98,8
1022,02/03,-84.82,4
1023,01/18,-12.42,6
1024,01/02,42.26,19
1025,02/08,-57.93,1
1026,10/02,16.16,16
1027,06/09,-57.45,14
1028,12/28,-78.37,2
1029,02/10,-29.95,8
1030,09/18,-5.89,7
1031,09/15,-85.53,4
1032,08/21,-61.75,4
1033,01/25,24.2,5
1034,06/07,69.94,3
1035,04/01,-18.93,16
1036,06/09,-98.89,4
1037,03/19,-95.57,19
1038,01/21,-1.29,7
1039,12/28,-37.49,2
1040,11/05,-70.64,16
1041,01/29,7.32,3
1042,12/25,-8.45,3
1043,10/18,-76.32,15
1044,11/07,-98.13,1
1045,04/26,-19.62,9
1046,03/22,-97.48,6
1047,06/01,69.92,2
1048,07/10,63.29,1
1049,02/27,-52.18,5
1050,06/04,97.84,17
1051,07/28,97.02,9
1052,02/17,1.72,7
1053,08/19,78.92,17
1054,12/10,49.52,7
1055,09/14,-30.23,20
1056,12/26,16.46,17
1057,06/27,65.95,2
1058,07/12,6.96,7
1059,05/19,89.61,2
1060,10/18,-57.97,8
1061,10/16,50.44,12
1062,04/08,-61.17,13
1063,06/16,67.53,14
1064,07/26,56.32,14
1065,12/27,51.16,1
1066,03/17,58.94,3
1067,12/28,-35.43,13
1068,11/07,34.83,13
1069,03/13,-43.62,9
1070,06/23,-82.5,9
1071,05/31,-47.0,19
1072,12/18,-82.65,19
1073,01/25,-98.98,7
1074,07/03,-43.67,1
1075,04/19,-91.23,15
1076,05/05,-38.67,3
1077,05/17,26.63,3
1078,07/11,73.11,2
1079,08/10,-87.55,15
1080,12/07,26.96,6
1081,04/10,2.1,14
1082,01/07,-13.7,15
1083,08/29,-26.24,3
1084,01/13,7.86,19
1085,02/15,-1.68,5
1086,10/15,-29.81,12
1087,11/06,-99.77,8
1088,05/06,35.23,17
1089,04/12,-82.92,14
1090,12/03,74.07,11
1091,07/27,-92.88,1
1092,10/07,28.58,13
1093,01/19,86.53,6
1094,07/29,-11.73,10
1095,09/18,-83.16,16
1096,06/12,-8.38,11
1097,06/17,-43.19,1
1098,04/03,36.03,2
1099,08/16,90.59,16
1100,03/14,-45.19,11
1101,06/17,12.9,7
1102,07/17,95.49,19
1103,01/13,-56.24,1
1104,03/18,-13.77,7
1105,01/05,85.87,11
1106,04/04,-42.3,1
1107,01/03,-31.37,6
